instance,family,activation,dim,modules,H,U_eq_align,OPT_eq_exposed_milp,compression_factor_exact,proof_cell_count,bytes_core_tab,bytes_core_bin,bytes_archive_tab,bytes_archive_tree,bytes_archive_bin,archive_to_core_bin_ratio,bytes_core_per_cell_bin,bytes_archive_per_cell_bin,serialized_node_count_core_tab,serialized_node_count_archive_tree,T_check_core_tab,T_check_core_bin,T_check_archive_tab,T_check_archive_tree,T_check_archive_bin,bytes_tab,bytes_tree,bytes_bin,serialized_node_count_tab,serialized_node_count_tree,T_check,T_check_per_cell
FamilyA_d2_M4_abs_seed2,FamilyA,abs,2,4,4,11,10.0,1.1,10,4451,1811,93030,99058,25240,13.937051352843733,181.1,2524.0,10,39,9.407754987478256e-05,5.826447159051895e-05,0.0003634262830018997,0.0003409050405025482,0.0002534082159399986,93030,99058,25240,10,39,0.0002534082159399986,2.5340821593999863e-05
FamilyA_d2_M4_maxout_seed0,FamilyA,maxout,2,4,4,10,10.0,1.0,10,4384,1793,137062,143093,32860,18.326826547685442,179.3,3286.0,10,39,9.709782898426056e-05,6.001349538564682e-05,0.0004928149282932281,0.00045937392860651016,0.00032923370599746704,137062,143093,32860,10,39,0.00032923370599746704,3.29233705997467e-05
FamilyA_d2_M4_maxout_seed1,FamilyA,maxout,2,4,4,9,9.0,1.0,9,3883,1616,123355,128940,29662,18.355198019801982,179.55555555555554,3295.777777777778,9,36,8.589588105678558e-05,5.3363852202892303e-05,0.0004339423030614853,0.000410289503633976,0.0002980409190058708,123355,128940,29662,9,36,0.0002980409190058708,3.311565766731898e-05
FamilyA_d2_M4_maxout_seed2,FamilyA,maxout,2,4,4,9,9.0,1.0,9,3885,1616,123312,128897,29662,18.355198019801982,179.55555555555554,3295.777777777778,9,36,8.925516158342361e-05,5.438458174467087e-05,0.00042308028787374496,0.0004134196788072586,0.00030490197241306305,123312,128897,29662,9,36,0.00030490197241306305,3.387799693478478e-05
FamilyA_d2_M6_relu_seed0,FamilyA,relu,2,6,6,20,20.0,1.0,20,8775,3604,252208,271185,64239,17.82436182019978,180.2,3211.95,20,101,0.00014846120029687881,0.00010074768215417862,0.0008333306759595871,0.0011951671913266182,0.0006521483883261681,252208,271185,64239,20,101,0.0006521483883261681,3.26074194163084e-05
FamilyA_d2_M6_relu_seed1,FamilyA,relu,2,6,6,18,18.0,1.0,18,7772,3237,226509,244490,58142,17.96169292554835,179.83333333333334,3230.1111111111113,18,95,0.000135139562189579,9.127706289291382e-05,0.0007489342242479324,0.001077568158507347,0.0005916832014918327,226509,244490,58142,18,95,0.0005916832014918327,3.287128897176849e-05
FamilyA_d2_M6_relu_seed2,FamilyA,relu,2,6,6,20,19.0,1.0526315789473684,19,8408,3435,251782,271264,64230,18.69868995633188,180.78947368421052,3380.5263157894738,19,102,0.00014930125325918198,0.00010680779814720154,0.0008176090195775032,0.001195887103676796,0.0007766652852296829,251782,271264,64230,19,102,0.0007766652852296829,4.087712027524647e-05
FamilyA_d2_M6_leakyrelu_seed0,FamilyA,leakyrelu,2,6,6,20,20.0,1.0,20,8901,3604,253339,272316,64839,17.990843507214205,180.2,3241.95,20,101,0.00014931056648492813,0.00010134652256965637,0.0008310116827487946,0.0011708550155162811,0.0006329957395792007,253339,272316,64839,20,101,0.0006329957395792007,3.1649786978960035e-05
FamilyA_d2_M6_leakyrelu_seed1,FamilyA,leakyrelu,2,6,6,18,18.0,1.0,18,7913,3237,227598,245579,58682,18.1285140562249,179.83333333333334,3260.1111111111113,18,95,0.00013632047921419144,8.999649435281754e-05,0.0007663359865546227,0.0007761269807815552,0.0008939346298575401,227598,245579,58682,18,95,0.0008939346298575401,4.9663034992085566e-05
FamilyA_d2_M6_leakyrelu_seed2,FamilyA,leakyrelu,2,6,6,20,19.0,1.0526315789473684,19,8418,3435,252557,272039,64830,18.87336244541485,180.78947368421052,3412.1052631578946,19,102,0.00015046168118715286,9.894650429487228e-05,0.0008244691416621208,0.0008758241310715675,0.000975901260972023,252557,272039,64830,19,102,0.000975901260972023,5.1363224261685424e-05
