instance,family,activation,dim,modules,threshold_label,task_kind,threshold_reference,t,g_min,threshold_margin,is_true_threshold,n_violating_live_leaves,U_ge_transfer,dict_size_thr_transfer,dict_size_thr_parent,dict_size_thr_drop,dict_size_thr_mix,dict_size_threshold_union,OPT_ge_exposed_milp,OPT_ge_exposed_greedy,OPT_ge_exposed_lp_rounding,LB_ge_omega_common,LB_ge_chi_exact_common,LB_ge_omega_exposed,LB_ge_chi_exact_exposed,LB_ge_omega,LB_ge_chi_exact,T_min_ge_milp,timeout_ge_milp,false_control_behavior,OPT_ge_over_OPT_eq,gap_transfer_over_opt,gap_opt_over_lb_exposed,true_VAC_ge_L_grd
FamilyA_d2_M6_maxout_seed1,FamilyA,maxout,2,6,tight_true,canonical_true,g_min,0.26874999999999993,0.26874999999999993,0.0,True,0,16.0,16,0,88,0,88,8.0,8.0,8.0,1,,8,,8,,0.004509808495640755,False,finite_cover,0.5,2.0,1.0,
FamilyA_d2_M6_maxout_seed1,FamilyA,maxout,2,6,false_control,false_control,g_min_plus_delta,0.28874999999999995,0.26874999999999993,-0.020000000000000018,False,6,inf,10,0,53,0,53,inf,inf,inf,9,,11,,11,,0.0007072407752275467,False,no_finite_cover_or_timeout,,,,
FamilyA_d2_M6_maxout_seed2,FamilyA,maxout,2,6,tight_true,canonical_true,g_min,0.23874999999999996,0.23874999999999996,0.0,True,0,17.0,17,0,93,0,93,9.0,9.0,9.0,1,,9,,9,,0.004408400505781174,False,finite_cover,0.5294117647058824,1.8888888888888888,1.0,
FamilyA_d2_M6_maxout_seed2,FamilyA,maxout,2,6,false_control,false_control,g_min_plus_delta,0.25875,0.23874999999999996,-0.020000000000000018,False,6,inf,11,0,58,0,58,inf,inf,inf,9,,12,,12,,0.0007031215354800224,False,no_finite_cover_or_timeout,,,,
FamilyA_d2_M8_relu_seed0,FamilyA,relu,2,8,tight_true,canonical_true,g_min,-0.30000000000000004,-0.30000000000000004,0.0,True,0,33.0,33,0,241,0,241,17.0,17.0,17.0,1,,16,,16,,0.004111830145120621,False,finite_cover,0.5151515151515151,1.9411764705882353,1.0625,
FamilyA_d2_M8_relu_seed0,FamilyA,relu,2,8,false_control,false_control,g_min_plus_delta,-0.28,-0.30000000000000004,-0.020000000000000018,False,7,inf,26,0,187,0,187,inf,inf,inf,9,,16,,16,,0.0008897231891751289,False,no_finite_cover_or_timeout,,,,
FamilyA_d2_M8_relu_seed1,FamilyA,relu,2,8,tight_true,canonical_true,g_min,-0.715,-0.715,0.0,True,0,27.0,27,0,199,0,199,15.0,15.0,15.0,1,,14,,14,,0.004193006083369255,False,finite_cover,0.5555555555555556,1.8,1.0714285714285714,
FamilyA_d2_M8_relu_seed1,FamilyA,relu,2,8,false_control,false_control,g_min_plus_delta,-0.695,-0.715,-0.020000000000000018,False,2,inf,25,0,182,0,182,inf,inf,inf,5,,15,,15,,0.0008901851251721382,False,no_finite_cover_or_timeout,,,,
FamilyA_d2_M8_relu_seed2,FamilyA,relu,2,8,tight_true,canonical_true,g_min,-1.675,-1.675,0.0,True,0,26.0,26,0,192,0,192,15.0,15.0,15.0,1,,15,,15,,0.004194324836134911,False,finite_cover,0.6,1.7333333333333334,1.0,
FamilyA_d2_M8_relu_seed2,FamilyA,relu,2,8,false_control,false_control,g_min_plus_delta,-1.655,-1.675,-0.020000000000000018,False,3,inf,23,0,167,0,167,inf,inf,inf,6,,16,,16,,0.0008342908695340157,False,no_finite_cover_or_timeout,,,,
FamilyA_d2_M8_leakyrelu_seed0,FamilyA,leakyrelu,2,8,tight_true,canonical_true,g_min,-0.8485,-0.8485,0.0,True,0,33.0,33,0,241,0,241,17.0,17.0,17.0,1,,16,,16,,0.0041183000430464745,False,finite_cover,0.5151515151515151,1.9411764705882353,1.0625,
FamilyA_d2_M8_leakyrelu_seed0,FamilyA,leakyrelu,2,8,false_control,false_control,g_min_plus_delta,-0.8285,-0.8485,-0.020000000000000018,False,2,inf,31,0,224,0,224,inf,inf,inf,5,,16,,16,,0.0009456789121031761,False,no_finite_cover_or_timeout,,,,
FamilyA_d2_M8_leakyrelu_seed1,FamilyA,leakyrelu,2,8,tight_true,canonical_true,g_min,-1.2295,-1.2295,0.0,True,0,27.0,27,0,199,0,199,15.0,15.0,15.0,1,,14,,14,,0.004156382754445076,False,finite_cover,0.5555555555555556,1.8,1.0714285714285714,
FamilyA_d2_M8_leakyrelu_seed1,FamilyA,leakyrelu,2,8,false_control,false_control,g_min_plus_delta,-1.2095,-1.2295,-0.020000000000000018,False,2,inf,25,0,182,0,182,inf,inf,inf,5,,15,,15,,0.000886864960193634,False,no_finite_cover_or_timeout,,,,
FamilyA_d2_M8_leakyrelu_seed2,FamilyA,leakyrelu,2,8,tight_true,canonical_true,g_min,-2.08175,-2.08175,0.0,True,0,26.0,26,0,192,0,192,15.0,15.0,15.0,1,,15,,15,,0.004162303172051907,False,finite_cover,0.6,1.7333333333333334,1.0,
FamilyA_d2_M8_leakyrelu_seed2,FamilyA,leakyrelu,2,8,false_control,false_control,g_min_plus_delta,-2.06175,-2.08175,-0.020000000000000018,False,2,inf,24,0,175,0,175,inf,inf,inf,5,,15,,15,,0.0008367514237761497,False,no_finite_cover_or_timeout,,,,
FamilyA_d2_M8_abs_seed0,FamilyA,abs,2,8,tight_true,canonical_true,g_min,1.52,1.52,0.0,True,0,33.0,33,0,241,0,241,17.0,17.0,17.0,1,,16,,16,,0.00409326795488596,False,finite_cover,0.5151515151515151,1.9411764705882353,1.0625,
FamilyA_d2_M8_abs_seed0,FamilyA,abs,2,8,false_control,false_control,g_min_plus_delta,1.54,1.52,-0.020000000000000018,False,4,inf,29,0,209,0,209,inf,inf,inf,7,,16,,16,,0.0009401077404618263,False,no_finite_cover_or_timeout,,,,
FamilyA_d2_M8_abs_seed1,FamilyA,abs,2,8,tight_true,canonical_true,g_min,0.8333333333333333,0.8333333333333333,0.0,True,0,27.0,27,0,199,0,199,15.0,15.0,15.0,1,,14,,14,,0.004141812212765217,False,finite_cover,0.5555555555555556,1.8,1.0714285714285714,
FamilyA_d2_M8_abs_seed1,FamilyA,abs,2,8,false_control,false_control,g_min_plus_delta,0.8533333333333333,0.8333333333333333,-0.020000000000000018,False,6,inf,21,0,152,0,152,inf,inf,inf,11,,16,,16,,0.0008319709450006485,False,no_finite_cover_or_timeout,,,,
FamilyA_d2_M8_abs_seed2,FamilyA,abs,2,8,tight_true,canonical_true,g_min,1.4808333333333332,1.4808333333333332,0.0,True,0,26.0,26,0,192,0,192,15.0,15.0,15.0,1,,15,,15,,0.0041870055720210075,False,finite_cover,0.6,1.7333333333333334,1.0,
FamilyA_d2_M8_abs_seed2,FamilyA,abs,2,8,false_control,false_control,g_min_plus_delta,1.5008333333333332,1.4808333333333332,-0.020000000000000018,False,4,inf,22,0,160,0,160,inf,inf,inf,8,,16,,16,,0.0008464120328426361,False,no_finite_cover_or_timeout,,,,
